Unnamed: 0,City,Latitude,Longitude,CS,Population,Electricity Consumption
88,Copșa Mică,46.1123071,24.2282191,False,5404,0.7143999999999999
89,Corabia,43.7747612,24.5015439,False,16441,0.8552
90,Costești,44.6620233,24.8770102,False,10375,0.8039999999999999
91,Covasna,45.896679250000005,26.010180611745668,False,9081,0.7864
92,Craiova,44.3190159,23.7965614,True,269506,0.928
93,Cristuru Secuiesc,46.2889771,25.0355987,False,9491,0.7928
94,Cugir,45.8362888,23.3740955,False,21376,0.8712
95,Curtea de Argeș,45.1469341,24.6779826,False,27359,0.8879999999999999
96,Curtici,46.3444844,21.3069092,False,7453,0.7599999999999999
97,Dăbuleni,43.8008,24.092398,False,12182,0.8263999999999999
98,Darabani,48.199792,26.596660645363272,False,9523,0.7936
99,Dărmănești,46.3690446,26.4705105,False,12247,0.8271999999999999
100,Dej,47.1426672,23.8759884,True,33497,0.8984
101,Deta,45.3888968,21.2244427,False,6260,0.728
102,Deva,45.8817402,22.9008611,True,61123,0.9152
103,Dolhasca,47.426148,26.611131,False,10298,0.8016
104,Dorohoi,47.9537609,26.3969973,False,24309,0.8815999999999999
105,Drăgănești-Olt,44.1684732,24.5219723,False,10894,0.8143999999999999
106,Drăgășani,44.6592011,24.2643412,False,17871,0.8608
107,Dragomirești,47.6665644,24.2917932,False,3213,0.6816
108,Drobeta-Turnu Severin,44.6257835,22.6531975,True,92617,0.9224
109,Dumbrăveni,46.2246329,24.5761141,False,7388,0.7575999999999999
110,Eforie,44.0278741,28.650451,True,9473,0.7919999999999999
111,Făgăraș,45.8449433,24.9703224,True,30714,0.8919999999999999
112,Făget,45.8558027,22.1768874,True,6761,0.7367999999999999
113,Fălticeni,47.4597637,26.30255,False,25723,0.8855999999999999
114,Făurei,45.0853085,27.2713188,False,3592,0.6856
115,Fetești,44.3976391,27.84602699923665,False,30217,0.8912
116,Fieni,45.130649,25.4195745,False,7587,0.7639999999999999
117,Fierbinți-Târg,44.6824655,26.3823791,False,4969,0.7008
118,Filiași,44.5538277,23.5205621,False,16900,0.8568
119,Flămânzi,47.56602865,26.8859169818982,False,10136,0.7984
120,Focșani,45.697274,27.1856921,True,79315,0.9192
121,Frasin,44.8170306,23.5328837,False,5876,0.7215999999999999
122,Fundulea,44.4683784,26.5095823,True,6851,0.7384
123,Găești,44.7207093,25.3194711,True,13317,0.836
